Row Labels,Sum of revenue,,,,,,,,,,,,,,
<1/1/2022,,,,,,,,,,,,,,,
Jan,65800,,,,,,,,,,,,,,
Feb,53740,,,,,,,,,,,,,,
Mar,62560,,,,,,,,,,,,,,
Apr,55800,,,,,,,,,,,,,,
May,69510,,,,,,,,,,,,,,
Jun,58660,,,,,,,,,,,,,,
Jul,69510,,,,,,,,,,,,,,
Aug,65260,,,,,,,,,,,,,,
Sep,62910,,,,,,,,,,,,,,
Oct,65260,,,,,,,,,,,,,,
Nov,64110,,,,,,,,,,,,,,
Dec,64010,,,,,,,,,,,,,,
Grand Total,757130,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Q1,Q2,Q3,Q4
,,,,,,,,,,,,182100,183970,197680,193380
